ID,Language
639,Mandarin
640,English
641,English
642,Hindi
642,English
643,English
644,English
645,English
646,English
646,Mandarin
647,English
647,Catalan
647,Spanish
648,English
649,English
650,English
650,Ukrainian
651,English
652,English
652,Mandarin
653,English
654,Hindi
654,Urdu
654,English
654,Italian
655,English
656,Turkish
656,English
657,French
658,English
659,English
660,Hindi
661,English
662,Danish
662,German
663,Hindi
664,Hindi
665,English
666,English
666,Khmer
667,English
668,Telugu
668,Tamil
668,Hindi
669,English
670,English
671,English
672,English
673,English
674,English
675,English
676,English
677,English
678,English
678,Spanish
678,Portuguese
679,Arabic
680,English
680,French
680,Mandarin
680,German
681,Hindi
681,English
682,English
683,English
683,Spanish
684,English
685,English
686,English
687,English
687,Mandarin
688,English
689,English
689,Amharic
690,English
691,Akan
691,English
692,English
693,English
694,English
695,English
696,English
697,English
698,English
698,Portuguese
698,Spanish
698,French
699,English
700,English
701,English
702,English
703,Hindi
703,English
703,Chinese
703,Spanish
704,Hindi
705,English
706,English
707,English
708,Japanese
709,Cantonese
709,English
709,Mandarin
710,English
711,English
712,English
713,English
714,English
715,English
716,English
717,English
718,English
719,English
720,English
722,English
722,French
723,Spanish
723,French
724,English
725,English
726,English
726,Italian
727,English
728,English
729,English
730,English
731,English
731,Spanish
732,English
732,Korean
732,German
733,English
734,English
735,English
736,Spanish
736,English
737,English
737,Mandarin
737,Swiss German
737,Cantonese
737,Russian
738,English
738,Hindi
738,Manipuri
738,Xhosa
739,Hindi
740,English
740,Arabic
740,Persian
741,German
741,English
742,English
742,Cantonese
743,Hindi
743,English
744,English
745,English
746,English
747,English
748,English
749,English
750,English
750,Russian
751,English
752,English
753,English
754,English
755,English
756,English
756,German
756,French
756,Swedish
757,Spanish
758,English
758,Chinese
759,Cantonese
759,Mandarin
760,English
760,Spanish
761,Hindi
762,Arabic
763,English
764,English
765,English
766,Hindi
767,English
768,English
769,English
770,English
770,Spanish
771,Indonesian
772,English
772,Korean
773,Russian
773,Spanish
773,Finnish
774,English
774,Russian
775,Spanish
776,Thai
777,English
777,German
777,Arabic
777,Russian
777,French
778,English
779,English
780,English
781,English
782,English
783,Spanish
783,Kriolu
783,Aragonese
784,English
784,Spanish
785,English
786,French
787,English
787,Italian
788,English
789,English
790,English
791,English
792,English
793,English
794,English
795,English
795,Japanese
795,Spanish
796,English
797,Hindi
798,English
798,Brazilian Sign Language
799,English
800,Hindi
801,English
802,English
803,Arabic
803,Hebrew
803,English
804,Hindi
804,Urdu
805,English
806,English
807,English
808,German
809,English
810,Hindi
810,English
811,Korean
811,Japanese
812,English
813,English
814,English
815,English
816,English
817,English
818,English
819,English
820,English
820,Dutch
821,English
822,English
823,Japanese
